やろう	野郎	n, pn	guy, fellow, chap, buddy,bastard, asshole, arsehole, son of a bitch	No way!!	ケッ……！！あの野郎が金ももらわねえでいなくなるわけねえだろ！！
へや	部屋	n	room, chamber,apartment, flat, pad,stable	Go ahead 'n' help yourself to the room.	いいぜ、部屋は自由に使ってくれ
じゆう	自由	exp, adj-na, n	freedom, liberty, as it pleases you	Go ahead 'n' help yourself to the room.	いいぜ、部屋は自由に使ってくれ
まわる	回る	v5r, vi	to turn, to revolve,to visit several places,to function well,to pass a certain time	Geez, dude, you're really old. You sure you ain't poorer than me?	おっさん、やきがまわったな。オレよりびんぼうじゃねえか
すき	隙	n	gap, space,break, interlude, interval,chink (in one's armor, armour), chance, opportunity, weak spot,breach (of a relationship between people)	Use whatever bed you want. Sleep tight, old guy.	すきなベッドで休んでいきな。いい夢見なよな、おっさん
ベッド		n	bed	Use whatever bed you want. Sleep tight, old guy.	すきなベッドで休んでいきな。いい夢見なよな、おっさん
ゆめみ	夢見	n	having a dream	Use whatever bed you want. Sleep tight, old guy.	すきなベッドで休んでいきな。いい夢見なよな、おっさん
やすめる	休める	v1, vt	to rest, to suspend, to give relief	This is a slum, so don't think you can stay for free.	ただで休めるほどスラムの街はあまくはないぜ
ごうじょう	強情	adj-na, n	obstinate, stubborn, headstrong	Tough guy, huh!? You'd better sleep when you can.	強情だな！　もうっ！休めるときに休む
きほん	基本	n, adj-no	basics, fundamentals, basis, foundation	That's the trick to being tough. Remember that, old dude.	これがタフに生きてく基本だぜ！おっさん、覚えときな
くろう	苦労	n, vs	trouble, hardship, difficulty, labour, labor, toil, pains,anxiety, worry, concern, cares	Rough times, huh pop? Not a dime on you?	おっさん、苦労してんだな。金もってないじゃないか！
しょしんしゃ	初心者	n	beginner	Beginner's Hall	初心者の館
やかた	館	n	mansion, palace, manor house, castle,nobleman, noblewoman, dignitary,cabin (on a boat, carriage, etc.)	Beginner's Hall	初心者の館
ぶがい	部外	n	outside the department	Unn!! Who the hell are you!? No unauthorized access.	ん………！！なんだ、てめぇは？ここは部外者立ち入り禁止だぞ
たちいり	立ち入り	n, vs	entering, going into	Unn!! Who the hell are you!? No unauthorized access.	ん………！！なんだ、てめぇは？ここは部外者立ち入り禁止だぞ
きんし	禁止	n, vs	prohibition, inhibition, ban	Unn!! Who the hell are you!? No unauthorized access.	ん………！！なんだ、てめぇは？ここは部外者立ち入り禁止だぞ
ききあきる	聞き飽きる	v1, vt	to be tired of hearing	You must be sick of hearing it… But it's been so long since there was any real news here.	そうか、もう聞きあきちまったか…。ひさしぶりのでかいニュースだからよ。先行きが、気になるよな
ひさし	庇	n	eaves (of roof),narrow aisle surrounding the core of a temple building,visor (of a cap), brim, peak,classic Japanese women's low pompadour hairstyle	You must be sick of hearing it… But it's been so long since there was any real news here.	そうか、もう聞きあきちまったか…。ひさしぶりのでかいニュースだからよ。先行きが、気になるよな
ぶり	振り	suf	style, manner,after (period of time) again (e.g. meeting again after a year), for the first time in (period of time)	You must be sick of hearing it… But it's been so long since there was any real news here.	そうか、もう聞きあきちまったか…。ひさしぶりのでかいニュースだからよ。先行きが、気になるよな
さきゆき	先行き	n	the future, future prospects	You must be sick of hearing it… But it's been so long since there was any real news here.	そうか、もう聞きあきちまったか…。ひさしぶりのでかいニュースだからよ。先行きが、気になるよな
しゅうだん	集団	n	group, mass	You're worried where it's all heading, right? Everyone's in a buzz 'bout that terrorist group AVALANCHE blowin' up the Sector 1 Mako Reactor.	なんでもよう……アバランチとかいうテロ集団が壱番魔晄炉を爆破したって話だ
もてる	持てる	adj-f	to be able to possess (hold, get, etc.),to be well liked, to be popular, to be pampered (spoiled, doted upon, etc.), to be welcomed,to endure (the tests of time, the elements, etc.), to last,possessed, held,rich, wealthy, affluent	On the surface they say they're an anti-Shinra group, but in reality…	おもてむきは、反神羅がどうしたとかって声明がでてるらしいがよ。真相はな……
むき	向き	n	direction, orientation, aspect, exposure,suited to, suitable for, designed for,tendency, inclination,nature (of a request or desire),person	On the surface they say they're an anti-Shinra group, but in reality…	おもてむきは、反神羅がどうしたとかって声明がでてるらしいがよ。真相はな……
しんそう	真相	n	truth, real situation	On the surface they say they're an anti-Shinra group, but in reality…	おもてむきは、反神羅がどうしたとかって声明がでてるらしいがよ。真相はな……
さべつ	差別	n, vs	distinction, differentiation, discrimination,discrimination (against women, minorities, etc.)	they say they're just out to kill as many people as they can.	無差別大量殺人が目的だってうわささ
たいりょう	大量	adj-na, n, adj-no	large quantity, massive (quantity), mass (e.g. mass production, mass transit, mass destruction)	they say they're just out to kill as many people as they can.	無差別大量殺人が目的だってうわささ
さつじん	殺人	n	murder, homicide, manslaughter	they say they're just out to kill as many people as they can.	無差別大量殺人が目的だってうわささ
もくてき	目的	n	purpose, goal, aim, objective, intention	they say they're just out to kill as many people as they can.	無差別大量殺人が目的だってうわささ
とくべつ	特別	adj-na, adj-no, adv, n	special, particular, extraordinary, exceptional, especial	Since today's special, I'm gonna let you in on a juicy bit of news. But you gotta keep it to yourself.	まあ、今日は特別だ。ここだけの話。いいニュースがあったからな
わらわせる	笑わせる	v1, vt	to make laugh, to set to laughing	That's a good one, ain't it!? While they're bustin' things up on top, the only ones makin' out good are us weapon stores!	笑わせてくれるじゃねぇか！？上でゴタゴタやってくれりゃよ。武器屋としては大助かりってやつよ
ゴタゴタ		n, adv, adv-to, vs	trouble, difficulties, dispute, quarrel, discord, dissension,confusion, disorder, mess, muddle	That's a good one, ain't it!? While they're bustin' things up on top, the only ones makin' out good are us weapon stores!	笑わせてくれるじゃねぇか！？上でゴタゴタやってくれりゃよ。武器屋としては大助かりってやつよ
たすかる	助かる	v5r, vi	to be saved, to be rescued, to survive,to escape harm, to be spared damage,to be helped, to be saved trouble	That's a good one, ain't it!? While they're bustin' things up on top, the only ones makin' out good are us weapon stores!	笑わせてくれるじゃねぇか！？上でゴタゴタやってくれりゃよ。武器屋としては大助かりってやつよ
ざいこ	在庫	n	inventory, stock, stockpile	Now, if we can just get rid of this back stock, we'll be doin' OK.	この在庫の山もはけちまえばいいがな
やま	山	n-pref	mountain, hill,mine (e.g. coal mine),heap, pile,crown (of a hat), thread (of a screw), tread (of a tire), protruding part of an object,climax, peak, critical point,guess, speculation,criminal case, crime,mountain climbing, mountaineering,festival float (esp. one mounted with a decorative halberd),wall, wall tile,temple, temple grounds,wild	Now, if we can just get rid of this back stock, we'll be doin' OK.	この在庫の山もはけちまえばいいがな
はける	捌ける	v1	to flow smoothly,to sell well, to sell out,to exit the stage, to remove (a prop) from the stage	Now, if we can just get rid of this back stock, we'll be doin' OK.	この在庫の山もはけちまえばいいがな
ちる	散る	v5r, vi	to fall (e.g. blossoms, leaves),to scatter, to be dispersed,to disappear, to dissolve, to break up,to spread, to run, to blur,to die a noble death	I welcome everything going to pot!	俺っちは、ぶっそうな世の中を歓迎するぜ！
ぶっそう	物騒	adj-na, n	dangerous, unsettled, troubled, disturbed, insecure	I welcome everything going to pot!	俺っちは、ぶっそうな世の中を歓迎するぜ！
よのなか	世の中	exp, n	society, the world, the times	I welcome everything going to pot!	俺っちは、ぶっそうな世の中を歓迎するぜ！
かんげい	歓迎	n, vs, adj-no	welcome, reception	I welcome everything going to pot!	俺っちは、ぶっそうな世の中を歓迎するぜ！
ゴー		n	go (somewhere), go (signal)	GO!! GO!! AVALANCHE!! That's what I say!	ゴー！！ゴー！！アバランチ！！ってやつだな
